country,avg_price_usd,count
Australia,559000,1
Austria,462811,148
Belarus,72793,12648
Croatia,447760,873
Cyprus,196386,46
Czechia,353920,12
Finland,416142,7
Georgia,86921,1936
Greece,539614,4870
Hungary,185319,7324
Indonesia,304614,59
Italy,1272741,386
Latvia,535315,621
Lithuania,176857,2496
Montenegro,357347,802
N. Cyprus,199182,515
Poland,363940,673
Portugal,816568,204
Russia,137649,13085
Serbia,144324,25
Spain,587254,2228
Thailand,263952,461
Turkey,337505,10760
United Arab Emirates,1009814,1335
United States of America,1234640,413
Uzbekistan,102266,794
