title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
"4 room villa 500 m² in Kalkan, Turkey",Turkey,"Kalkan, Mediterranean Region, Kas, Turkey",2021,2,,,,,500 m²,480 m²,1108667,https://realting.com/uploads/bigSlider/87b/67960b9229216decf200460d37dca.webp,https://realting.com/property-for-sale/turkey/inest-homes/1767446
"1 room apartment 28 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026,,,1,,1,28 m²,,35622,https://realting.com/uploads/bigSlider/16f/406c7a33e86a7ca2f5285bf817e47.webp,https://realting.com/property-for-sale/georgia/flatiko-llc/1765932
"4 room apartment 245 m² in Yesiloez, Turkey",Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",2007,2,3,5,4,4,245 m²,245 m²,274415,https://realting.com/uploads/bigSlider/9c8/6f1d74ccdc5e0d8153dbcbb49d147.webp,https://realting.com/property-for-sale/turkey/fsbo/1732620
"Cottage 555 m² in Haranski sielski Saviet, Belarus",Belarus,"Minsk Region, Haranski sielski Saviet, Minsk District, Belarus",2017,3,,,,,555 m²,,295000,https://realting.com/uploads/bigSlider/1c6/9af3546b68c741d16c5d0ec40a402.webp,https://realting.com/property-for-sale/belarus/ekspressnedvizhimost-rielt-roman/1684279
"Penthouse 3 bedrooms 150 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2022,5,,4,3,2,150 m²,135 m²,260863,https://realting.com/uploads/bigSlider/66a/f86207a2b18ae3ca5308808b5066e.webp,https://realting.com/property-for-sale/turkey/tekce-overseas/1731560
"3 room apartment 72 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",1955,4,4,3,,,72 m²,44 m²,122000,https://realting.com/uploads/bigSlider/d92/7f86997a514b043e5336faad30f3a.webp,https://realting.com/property-for-sale/belarus/centr-nedvizhimost-7ya/1768043
"3 room apartment 100 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2013,16,2,3,,,100 m²,50 m²,159000,https://realting.com/uploads/bigSlider/0ea/d9cb8220ff1d8becfa66307a28bf6.webp,https://realting.com/property-for-sale/belarus/centr-nedvizhimost-7ya/1768046
"2 room apartment 85 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",2015,,,,2,1,85 m²,,240211,https://realting.com/uploads/bigSlider/3ce/90e912c4bd23d.webp,https://realting.com/property-for-sale/montenegro/md-realty/297669
"2 room apartment 160 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",2015,,,,2,2,160 m²,,321731,https://realting.com/uploads/bigSlider/f10/ee6d903f83c41.webp,https://realting.com/property-for-sale/montenegro/md-realty/289454
"2 room apartment 89 m² in Budva, Montenegro",Montenegro,"Budva, Bar, Bar Municipality, Montenegro",2018,4,4,,2,2,89 m²,50 m²,258558,https://realting.com/uploads/bigSlider/73e/6d32408984ba34cb93071c325ded8.webp,https://realting.com/property-for-sale/montenegro/mnestate/1667409
"3 room apartment 154 m² in Cekmekoey, Turkey",Turkey,"Cekmekoey, Marmara Region, Cekmekoey Askeri Boelge, Turkey",2023,,,3,,1,154 m²,,325547,https://realting.com/uploads/bigSlider/693/00ad73883b4c6c443a82295271dd4.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1758038
"4 room villa 220 m² in Fethiye, Turkey",Turkey,"Aegean Region, Fethiye, Turkey",2024,2,,,,,220 m²,200 m²,239124,https://realting.com/uploads/bigSlider/73c/58d4d3505d179a07c4c55203cf442.webp,https://realting.com/property-for-sale/turkey/inest-homes/1767952
"1 room apartment 96 m² in Herceg Novi, Montenegro",Montenegro,"Herceg Novi, Montenegro",2015,,,,1,1,96 m²,,233690,https://realting.com/uploads/bigSlider/638/d853413dac46f.webp,https://realting.com/property-for-sale/montenegro/md-realty/289424
"3 room apartment 96 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,,,3,,1,96 m²,,309775,https://realting.com/uploads/bigSlider/bcd/8e88e3f62d1097988bb1a3a081e7b.webp,https://realting.com/property-for-sale/turkey/ip-puh-elena-yurevna/1707138
"Apartment 24 m² in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",2016,20,1,,,,24 m²,,55000,https://realting.com/uploads/bigSlider/cfc/50d507a566115a016ae04d7ae7168.webp,https://realting.com/property-for-sale/thailand/rieltor-bez-granic/1716616
