country,year,avg_price_usd,count
Australia,all,559000,1
Australia,2025,559000,1
Austria,all,464706,107
Austria,2015,469307,3
Austria,2018,869543,1
Austria,2020,786066,10
Austria,2021,376694,33
Austria,2022,453191,54
Austria,2023,447037,6
Belarus,all,98199,5194
Belarus,2010,107016,173
Belarus,2011,104514,160
Belarus,2012,142432,167
Belarus,2013,136042,214
Belarus,2014,114197,231
Belarus,2015,141131,261
Belarus,2016,122644,215
Belarus,2017,127754,213
Belarus,2018,133539,215
Belarus,2019,109855,235
Belarus,2020,95780,474
Belarus,2021,76244,1252
Belarus,2022,81190,533
Belarus,2023,76033,548
Belarus,2024,88051,228
Belarus,2025,76194,45
Belarus,2027,42865,30
Belarus,2024,88051,228
Croatia,all,516185,357
Croatia,2010,556993,21
Croatia,2011,624772,9
Croatia,2012,540757,11
Croatia,2013,719214,4
Croatia,2014,244494,5
Croatia,2015,609008,6
Croatia,2016,1676678,3
Croatia,2017,446976,15
Croatia,2018,1202556,5
Croatia,2019,435836,5
Croatia,2020,1053059,9
Croatia,2021,427461,12
Croatia,2022,460874,56
Croatia,2023,495662,147
Croatia,2024,409217,49
Croatia,2024,409217,49
Cyprus,all,196386,46
Cyprus,2022,116627,4
Cyprus,2023,160164,10
Cyprus,2024,191492,11
Cyprus,2025,239020,18
Cyprus,2026,185606,3
Cyprus,2024,191492,11
Czechia,all,353920,12
Czechia,2023,376662,8
Czechia,2024,308436,4
Czechia,2024,308436,4
Finland,all,471668,5
Finland,2019,723039,1
Finland,2023,408825,4
Georgia,all,86886,1935
Georgia,2012,581000,1
Georgia,2015,57143,7
Georgia,2016,315869,10
Georgia,2017,99200,5
Georgia,2018,304830,4
Georgia,2019,141843,12
Georgia,2020,158693,22
Georgia,2021,104187,36
Georgia,2022,108390,186
Georgia,2023,82225,604
Georgia,2024,69168,478
Georgia,2025,91450,431
Georgia,2026,86463,85
Georgia,2027,68038,54
Georgia,2024,69168,478
Greece,all,619441,1362
Greece,2010,529268,272
Greece,2011,712900,119
Greece,2012,674324,108
Greece,2013,622482,66
Greece,2014,769336,67
Greece,2015,609068,56
Greece,2016,1042971,51
Greece,2017,780993,69
Greece,2018,637846,39
Greece,2019,723043,38
Greece,2020,610507,41
Greece,2021,608889,58
Greece,2022,594399,128
Greece,2023,459016,185
Greece,2024,414799,58
Greece,2025,1497394,7
Greece,2024,414799,58
Hungary,all,176259,3176
Hungary,2010,284360,72
Hungary,2011,302599,36
Hungary,2012,372287,46
Hungary,2013,257535,23
Hungary,2014,284305,29
Hungary,2015,308776,36
Hungary,2016,246268,35
Hungary,2017,153566,340
Hungary,2018,190820,112
Hungary,2019,174132,642
Hungary,2020,163357,1283
Hungary,2021,159375,466
Hungary,2022,145900,56
Indonesia,all,304614,59
Indonesia,2022,477911,1
Indonesia,2023,300067,9
Indonesia,2024,279362,36
Indonesia,2025,365126,12
Indonesia,2026,355200,1
Indonesia,2024,279362,36
Italy,all,1027563,192
Italy,2010,622975,10
Italy,2011,601923,5
