country,building_construction_year,average_price,average_area,continent,latitude,longitude
Australia,2025,559000,120,Australia,-25.274398,133.775136
Australia,All years,559000,120,Australia,-25.274398,133.775136
Austria,2015,469307,101,Europe,47.516231,14.550072
Austria,2018,869543,142,Europe,47.516231,14.550072
Austria,2020,786066,56,Europe,47.516231,14.550072
Austria,2021,376694,60,Europe,47.516231,14.550072
Austria,2022,453191,92,Europe,47.516231,14.550072
Austria,2023,447037,69,Europe,47.516231,14.550072
Austria,All years,464706,81,Europe,47.516231,14.550072
Belarus,2010,107016,104,Europe,53.709807,27.953389
Belarus,2011,104514,103,Europe,53.709807,27.953389
Belarus,2012,142432,110,Europe,53.709807,27.953389
Belarus,2013,136042,127,Europe,53.709807,27.953389
Belarus,2014,114197,106,Europe,53.709807,27.953389
Belarus,2015,141131,126,Europe,53.709807,27.953389
Belarus,2016,122644,113,Europe,53.709807,27.953389
Belarus,2017,127754,131,Europe,53.709807,27.953389
Belarus,2018,133539,133,Europe,53.709807,27.953389
Belarus,2019,109855,107,Europe,53.709807,27.953389
Belarus,2020,95780,88,Europe,53.709807,27.953389
Belarus,2021,76244,71,Europe,53.709807,27.953389
Belarus,2022,81190,85,Europe,53.709807,27.953389
Belarus,2023,76033,77,Europe,53.709807,27.953389
Belarus,2024,88051,67,Europe,53.709807,27.953389
Belarus,2025,76194,55,Europe,53.709807,27.953389
Belarus,2027,42865,36,Europe,53.709807,27.953389
Belarus,All years,98199,93,Europe,53.709807,27.953389
Croatia,2010,556993,170,Europe,45.1,15.2
Croatia,2011,624772,152,Europe,45.1,15.2
Croatia,2012,540757,172,Europe,45.1,15.2
Croatia,2013,719214,298,Europe,45.1,15.2
Croatia,2014,244494,84,Europe,45.1,15.2
Croatia,2015,609008,153,Europe,45.1,15.2
Croatia,2016,1676678,206,Europe,45.1,15.2
Croatia,2017,446976,143,Europe,45.1,15.2
Croatia,2018,1202556,225,Europe,45.1,15.2
Croatia,2019,435836,136,Europe,45.1,15.2
Croatia,2020,1053059,398,Europe,45.1,15.2
Croatia,2021,427461,137,Europe,45.1,15.2
Croatia,2022,460874,119,Europe,45.1,15.2
Croatia,2023,495662,124,Europe,45.1,15.2
Croatia,2024,409217,100,Europe,45.1,15.2
Croatia,All years,516185,135,Europe,45.1,15.2
Cyprus,2022,116627,97,Europe,35.126413,33.429859
Cyprus,2023,160164,75,Europe,35.126413,33.429859
Cyprus,2024,191492,91,Europe,35.126413,33.429859
Cyprus,2025,239020,85,Europe,35.126413,33.429859
Cyprus,2026,185606,70,Europe,35.126413,33.429859
Cyprus,All years,196386,84,Europe,35.126413,33.429859
Czechia,2023,376662,78,Europe,49.817492,15.472962
Czechia,2024,308436,49,Europe,49.817492,15.472962
Czechia,All years,353920,68,Europe,49.817492,15.472962
Finland,2019,723039,104,Europe,61.92411,25.748151
Finland,2023,408825,115,Europe,61.92411,25.748151
Finland,All years,471668,113,Europe,61.92411,25.748151
Georgia,2012,581000,720,Europe,42.315407,43.356892
Georgia,2015,57143,28,Europe,42.315407,43.356892
Georgia,2016,315869,90,Europe,42.315407,43.356892
Georgia,2017,99200,78,Europe,42.315407,43.356892
Georgia,2018,304830,123,Europe,42.315407,43.356892
Georgia,2019,141843,84,Europe,42.315407,43.356892
Georgia,2020,158693,68,Europe,42.315407,43.356892
Georgia,2021,104187,60,Europe,42.315407,43.356892
Georgia,2022,108390,63,Europe,42.315407,43.356892
Georgia,2023,82225,53,Europe,42.315407,43.356892
Georgia,2024,69168,47,Europe,42.315407,43.356892
Georgia,2025,91450,55,Europe,42.315407,43.356892
Georgia,2026,86463,55,Europe,42.315407,43.356892
Georgia,2027,68038,43,Europe,42.315407,43.356892
Georgia,All years,86886,54,Europe,42.315407,43.356892
Greece,2010,529268,205,Europe,39.074208,21.824312
Greece,2011,712900,219,Europe,39.074208,21.824312
Greece,2012,674324,226,Europe,39.074208,21.824312
Greece,2013,622482,204,Europe,39.074208,21.824312
Greece,2014,769336,222,Europe,39.074208,21.824312
Greece,2015,609068,197,Europe,39.074208,21.824312
Greece,2016,1042971,269,Europe,39.074208,21.824312
Greece,2017,780993,215,Europe,39.074208,21.824312
Greece,2018,637846,172,Europe,39.074208,21.824312
Greece,2019,723043,165,Europe,39.074208,21.824312
Greece,2020,610507,158,Europe,39.074208,21.824312
Greece,2021,608889,114,Europe,39.074208,21.824312
Greece,2022,594399,128,Europe,39.074208,21.824312
Greece,2023,459016,118,Europe,39.074208,21.824312
Greece,2024,414799,96,Europe,39.074208,21.824312
Greece,2025,1497394,160,Europe,39.074208,21.824312
Greece,All years,619441,180,Europe,39.074208,21.824312
Hungary,2010,284360,198,Europe,47.162494,19.503304
Hungary,2011,302599,214,Europe,47.162494,19.503304
Hungary,2012,372287,211,Europe,47.162494,19.503304
Hungary,2013,257535,183,Europe,47.162494,19.503304
Hungary,2014,284305,202,Europe,47.162494,19.503304
Hungary,2015,308776,163,Europe,47.162494,19.503304
Hungary,2016,246268,165,Europe,47.162494,19.503304
Hungary,2017,153566,91,Europe,47.162494,19.503304
Hungary,2018,190820,110,Europe,47.162494,19.503304
Hungary,2019,174132,99,Europe,47.162494,19.503304
Hungary,2020,163357,97,Europe,47.162494,19.503304
Hungary,2021,159375,81,Europe,47.162494,19.503304
Hungary,2022,145900,70,Europe,47.162494,19.503304
