country,building_total_floors,apartment_rooms,apartment_bedrooms,apartment_total_area,price_in_USD
N. Cyprus,1,2,1,96,199268
United Arab Emirates,6,1,1,38,97930
Czechia,4,4,2,54,314990
Turkey,5,4,3,150,260863
Turkey,6,2,1,55,314122
Turkey,13,2,1,64,310861
Turkey,12,4,3,105,290210
Turkey,9,3,2,135,266297
Turkey,5,3,2,100,249993
Turkey,14,2,1,70,241298
Turkey,4,3,2,95,288036
Turkey,4,3,2,93,248071
Uzbekistan,11,2,1,76,90021
Turkey,9,1,2,130,294511
Turkey,12,3,2,114,253254
Turkey,6,3,2,130,276080
Turkey,15,2,1,63,266297
Turkey,16,3,2,92,296731
Turkey,4,1,2,130,288793
Montenegro,7,2,1,94,332057
Uzbekistan,12,3,2,68,76242
Turkey,4,3,2,82,306000
Turkey,4,2,1,60,260863
Turkey,4,1,3,220,338143
Turkey,12,3,2,81,338035
Turkey,5,3,2,75,293471
Turkey,7,5,4,210,368469
Turkey,4,1,3,140,299461
Turkey,10,3,2,110,358686
Turkey,2,5,4,190,439119
Uzbekistan,12,3,2,67,71246
Turkey,12,4,3,175,277167
Turkey,5,3,2,125,294148
Turkey,7,2,1,53,295644
Turkey,3,3,2,120,258689
Turkey,12,3,2,120,270645
Turkey,10,3,2,107,295644
Turkey,10,3,2,110,286949
Turkey,12,3,2,95,315209
Turkey,3,6,5,160,344556
Turkey,14,3,2,126,332600
Turkey,12,4,3,112,269967
Turkey,4,3,2,100,380425
Montenegro,3,4,3,125,619549
Montenegro,11,4,3,140,362778
Montenegro,8,2,1,69,336245
Turkey,4,3,2,130,183691
Turkey,8,2,1,50,197410
Turkey,18,5,4,234,224994
Turkey,15,1,1,70,177000
Turkey,4,2,1,60,216299
Turkey,4,3,2,75,281514
Turkey,15,4,3,143,268471
Montenegro,3,2,1,79,324992
Montenegro,9,3,2,76,498900
Turkey,14,4,3,140,153257
Turkey,14,3,2,112,166300
Turkey,7,2,1,75,193473
Turkey,8,2,1,72,161000
Turkey,8,2,2,110,167076
Turkey,8,3,2,85,189126
Turkey,6,4,3,315,184778
Turkey,3,4,3,150,143475
Turkey,4,1,1,60,174939
Turkey,3,3,2,74,148909
Turkey,10,2,1,55,164739
Turkey,5,2,1,70,157605
Turkey,3,2,1,55,189126
Montenegro,6,2,1,57,144665
Turkey,9,4,3,171,180430
Montenegro,7,3,2,66,128069
Turkey,5,1,4,150,253000
Turkey,4,2,1,51,148757
Turkey,4,3,2,100,228255
Turkey,10,4,3,130,246733
Turkey,4,2,1,75,284775
Turkey,12,1,1,62,265298
Turkey,7,3,2,87,166300
Turkey,4,4,3,110,265000
Turkey,4,3,2,80,167387
Turkey,4,4,3,145,215212
Turkey,4,3,2,98,392992
Turkey,5,2,1,58,230203
Turkey,15,2,1,75,223907
Turkey,5,2,1,60,122568
Turkey,4,1,1,80,174142
Turkey,10,3,2,77,131518
Turkey,4,3,2,120,224994
Turkey,11,2,1,52,170309
Turkey,5,2,1,52,143251
Turkey,5,3,2,135,236950
Turkey,12,3,2,126,250000
Turkey,4,2,1,55,138040
Turkey,5,2,1,55,138149
Turkey,4,3,2,104,217386
Turkey,3,2,1,77,190212
Turkey,4,2,1,57,131127
Turkey,5,3,2,86,255428
Turkey,5,2,1,57,222000
Turkey,15,3,2,82,176082
Turkey,7,1,3,165,218921
Turkey,12,1,1,75,222987
Turkey,7,2,1,50,173909
Turkey,4,4,3,155,160865
Turkey,10,3,2,117,136404
Turkey,11,3,2,150,292384
Turkey,10,4,3,175,196734
Turkey,26,2,1,83,158692
Turkey,5,2,1,62,161952
Turkey,9,1,1,87,131353
Turkey,12,3,2,120,171738
Turkey,12,3,2,101,296731
Turkey,9,3,2,140,215212
Turkey,4,3,2,75,251080
Turkey,6,3,2,100,226081
Turkey,11,2,1,50,235000
Turkey,6,2,1,57,141301
Turkey,12,3,2,116,138040
Turkey,5,2,2,100,150000
Turkey,9,5,4,155,238037
Turkey,6,4,3,174,143475
Turkey,9,2,1,85,244559
Turkey,5,2,1,65,157605
Turkey,5,4,3,128,211951
Turkey,13,3,2,120,126084
Turkey,22,3,2,105,133692
Turkey,8,2,1,49,145676
Turkey,8,4,3,191,145648
Turkey,2,4,4,500,241238
Turkey,12,2,1,65,201082
Turkey,5,3,2,90,224994
Turkey,6,4,3,110,111954
Turkey,8,3,2,120,228255
Turkey,4,4,3,135,253254
Turkey,21,3,2,93,226081
Turkey,22,4,3,122,240000
Turkey,5,3,2,70,131518
Turkey,4,4,3,130,147822
Turkey,5,3,2,80,199995
Turkey,5,3,2,130,206516
Turkey,5,3,2,80,220646
Turkey,5,4,3,148,130431
Turkey,2,3,2,90,231516
Turkey,8,4,3,150,130431
Turkey,10,3,2,92,201082
Turkey,4,2,1,70,137496
Turkey,12,2,1,65,139127
Turkey,4,3,2,85,164500
Turkey,6,3,2,121,206516
Turkey,9,3,2,91,190212
Turkey,10,2,1,45,155431
Turkey,5,2,1,42,176082
Turkey,5,2,1,55,152170
Turkey,20,3,2,82,191299
Turkey,20,1,4,230,197000
Turkey,11,5,4,180,159778
Turkey,7,4,3,107,292384
Turkey,4,2,1,65,179343
Turkey,4,3,2,110,127743
Turkey,8,2,1,45,98910
Turkey,6,2,1,42,140214
Turkey,6,2,1,50,124997
Turkey,7,2,1,80,114127
Turkey,7,2,1,65,99997
Turkey,5,1,1,41,119980
Turkey,4,3,2,115,116301
Turkey,38,4,3,147,166300
Turkey,5,4,3,130,132605
Turkey,5,2,1,65,154344
Turkey,5,3,2,110,156518
Turkey,16,2,1,86,107606
Turkey,8,2,1,54,80487
Turkey,14,2,1,52,84292
Turkey,6,2,1,50,123910
Turkey,4,2,1,62,154035
Turkey,14,2,1,75,88041
Turkey,3,2,1,57,101950
Turkey,8,3,2,130,160865
Turkey,7,1,1,50,96507
Turkey,10,3,2,90,124997
Turkey,12,2,1,85,129344
Turkey,8,2,1,55,132605
Turkey,14,3,2,120,111954
Turkey,4,2,1,165,170648
Turkey,5,2,1,60,99793
Turkey,6,2,1,54,124997
Turkey,4,4,3,125,107606
Turkey,5,4,3,140,84237
Turkey,14,3,2,112,111954
Turkey,12,1,1,48,101483
Turkey,8,2,1,42,124997
Turkey,5,2,1,50,131518
Turkey,5,5,4,182,107062
Turkey,10,3,2,110,103802
Turkey,7,2,1,53,117773
Turkey,4,3,2,105,176082
Turkey,13,3,2,94,85000
Turkey,4,3,2,95,101628
Turkey,3,3,3,100,87285
Turkey,12,3,2,92,119562
Turkey,8,2,1,75,79346
Turkey,14,1,1,89,80987
Turkey,5,2,1,57,144295
Turkey,6,2,1,56,101713
Turkey,13,2,1,72,92389
Turkey,5,2,1,50,69068
Turkey,15,2,1,78,77712
Turkey,5,2,1,59,128655
Turkey,15,3,2,100,76085
Turkey,9,2,1,58,69173
Turkey,8,2,1,42,76085
Turkey,5,2,1,49,120649
Turkey,5,2,1,60,101628
Turkey,20,3,2,130,89172
Turkey,14,2,1,58,82313
Turkey,7,2,1,55,69593
Turkey,10,2,1,65,151083
Turkey,5,2,1,65,180430
Turkey,14,2,1,45,68476
Turkey,7,3,2,110,109780
Turkey,16,1,2,100,103866
Turkey,14,1,2,107,103983
Turkey,5,3,2,75,179343
Turkey,15,2,1,75,90215
United States of America,2,5,5,1156,6886042
Turkey,6,3,2,75,127171
Turkey,8,2,1,54,58806
Turkey,5,2,1,38,176082
Turkey,5,3,2,75,145648
Turkey,15,3,2,138,110867
Turkey,5,2,1,48,115000
Turkey,12,1,1,50,164140
Turkey,4,3,2,100,131791
Turkey,7,3,2,100,127000
Turkey,10,2,1,60,135119
Turkey,7,4,3,121,82063
Turkey,8,2,1,65,131518
Turkey,6,2,1,53,75542
Turkey,7,2,1,50,119562
Turkey,5,2,1,55,106519
Turkey,7,2,1,80,107606
Turkey,5,4,3,150,101084
Turkey,3,4,3,115,136953
Turkey,11,2,1,65,168474
Turkey,5,2,1,50,108000
Turkey,5,1,1,65,116735
Turkey,8,2,1,60,155093
Turkey,14,3,2,120,121736
Turkey,4,2,1,45,125000
Turkey,14,2,1,50,59972
Turkey,5,3,2,512,113041
Turkey,15,2,1,53,72920
Turkey,9,2,1,70,83693
Turkey,3,2,1,50,118475
Turkey,9,1,1,81,110850
Turkey,9,1,1,51,140693
Turkey,8,2,1,55,113584
Turkey,5,2,2,90,151016
Turkey,12,2,1,69,89128
Turkey,9,2,1,55,108454
Turkey,13,4,3,120,133692
Turkey,6,2,1,46,132790
Turkey,7,2,1,50,111954
Turkey,5,4,3,110,116301
Turkey,8,2,1,50,131518
Turkey,12,3,2,110,119562
Turkey,12,2,1,55,161952
Turkey,9,1,1,47,61490
Turkey,3,1,1,51,114090
Turkey,12,2,1,75,173365
Turkey,10,2,1,65,57840
Turkey,10,2,1,70,101084
Turkey,6,3,2,90,173909
Turkey,6,2,1,65,160865
Turkey,10,2,1,74,64933
Turkey,5,2,1,502,106519
Turkey,15,3,2,96,122248
Turkey,8,2,1,57,121000
Turkey,5,2,1,52,149453
Turkey,11,2,1,51,93000
Turkey,7,2,2,60,76554
Turkey,4,2,1,52,139000
Turkey,4,3,2,120,149900
Turkey,12,2,1,70,81453
Turkey,5,4,3,117,151083
Turkey,5,2,1,56,81675
Turkey,10,2,1,44,135866
Turkey,5,2,1,50,78259
Turkey,14,3,2,75,72000
Turkey,14,3,2,70,88922
Turkey,10,2,1,52,80079
Turkey,11,2,1,60,173365
Turkey,15,1,2,80,80987
Turkey,14,2,1,70,79280
Turkey,26,1,1,47,181517
Turkey,5,4,3,100,151083
Turkey,15,2,1,55,86954
Turkey,5,2,1,50,104034
Turkey,5,2,1,59,196088
Turkey,5,3,2,80,193473
Turkey,5,2,1,65,70107
Turkey,4,3,2,105,75542
Turkey,13,2,1,58,77715
Turkey,10,2,1,53,71967
Turkey,4,2,1,52,135000
Turkey,5,3,2,125,133692
Turkey,5,3,2,100,84237
Turkey,5,3,2,74,179343
Turkey,7,2,1,50,121736
Turkey,7,2,1,55,97280
Turkey,13,3,2,79,94563
Turkey,3,2,1,55,73911
Turkey,9,2,1,65,97824
Turkey,14,3,2,100,104993
Turkey,10,1,1,50,102052
Turkey,5,4,3,145,85324
Turkey,8,3,2,69,82607
Turkey,15,2,1,48,80433
Turkey,9,2,1,70,138040
Turkey,5,2,1,50,108538
Turkey,5,2,1,60,78636
Turkey,14,2,1,52,82262
Turkey,12,2,1,65,74000
Turkey,14,2,1,45,79346
Turkey,6,2,1,65,90268
Turkey,11,2,1,55,144626
Turkey,7,2,1,60,102171
Turkey,14,2,1,69,78515
Turkey,12,2,1,50,71338
Turkey,5,2,1,50,80702
Turkey,13,2,1,75,67847
Turkey,5,2,1,70,63585
Turkey,8,2,1,52,90589
Turkey,14,3,2,74,102501
Turkey,1,2,2,135,84986
Turkey,4,2,1,55,142146
Turkey,3,3,2,72,97824
Turkey,14,2,1,46,70650
Turkey,7,2,1,52,94877
Turkey,8,2,1,56,121982
Turkey,3,2,1,55,66303
Turkey,6,2,1,60,94563
Turkey,5,2,1,58,114127
Turkey,12,2,1,47,66303
Turkey,5,2,1,55,144097
Turkey,10,2,1,65,51000
Turkey,15,2,1,42,63042
Turkey,9,2,1,66,65034
Turkey,11,2,1,65,55175
Turkey,6,4,3,191,123910
Turkey,9,2,1,63,112941
Turkey,6,3,2,85,67390
Turkey,12,3,2,81,138040
Turkey,12,2,1,51,133232
Turkey,7,5,4,155,127171
Turkey,5,3,2,80,70107
Turkey,9,2,1,55,131518
Turkey,7,2,1,80,149318
Turkey,14,2,1,60,71737
Turkey,5,2,1,40,161952
Turkey,3,3,2,100,110867
Turkey,5,2,1,57,140214
Turkey,11,2,1,45,53747
Turkey,12,3,2,116,137741
Turkey,9,2,1,45,77715
Turkey,4,2,1,50,51176
Turkey,14,1,3,130,137977
Turkey,6,2,1,47,137000
Turkey,16,2,1,55,81520
Turkey,3,2,1,65,128258
Turkey,12,2,1,55,182604
Turkey,4,5,4,160,189126
Turkey,14,2,1,65,39415
Turkey,5,2,1,60,155431
Turkey,8,2,1,54,59781
Turkey,10,3,2,113,245646
Turkey,14,2,1,53,36404
Turkey,7,3,2,65,70107
Turkey,11,1,1,62,47492
Turkey,8,1,1,39,42442
Turkey,10,1,1,35,38586
Turkey,9,1,1,43,42390
Turkey,9,3,2,79,209042
Turkey,12,1,1,43,46738
Turkey,10,2,1,54,48047
Turkey,12,2,1,55,49540
Turkey,4,2,1,55,68476
Turkey,10,2,1,65,53259
Turkey,14,2,1,65,33379
Turkey,5,2,1,60,204343
Turkey,7,3,2,61,65216
Turkey,14,2,1,63,34247
Turkey,14,2,1,58,29969
Turkey,15,1,1,53,40984
Turkey,4,1,3,155,271868
Turkey,13,2,1,62,32606
Turkey,8,2,1,45,58457
Turkey,8,2,1,60,30236
Turkey,4,3,2,130,243472
Turkey,26,4,3,167,283688
Turkey,3,3,2,160,277167
Turkey,12,2,1,60,300000
Turkey,6,2,1,62,26643
Turkey,10,2,1,74,28296
Turkey,2,2,1,65,25011
Turkey,11,2,1,43,24768
Turkey,37,5,4,190,253254
Turkey,9,3,2,120,327165
Turkey,8,2,1,39,21850
Turkey,5,4,3,120,249352
Turkey,6,6,5,200,317383
Turkey,10,3,2,120,353252
Turkey,11,1,1,41,21414
Turkey,10,1,1,43,21414
Turkey,10,2,1,65,18120
Turkey,10,2,1,65,17928
Turkey,4,5,4,232,251080
Turkey,7,2,1,46,271732
Turkey,4,3,2,103,304340
Turkey,10,1,1,120,95984
Turkey,10,2,1,65,16471
Turkey,8,4,3,210,288036
Turkey,4,2,1,65,271732
Turkey,4,3,2,95,261950
Turkey,7,3,2,95,452162
Turkey,7,3,2,130,294000
Turkey,3,5,4,220,326078
Turkey,12,3,2,95,281514
Turkey,13,3,2,111,321731
Turkey,5,4,3,186,277167
Turkey,8,2,1,47,184150
Turkey,4,5,4,210,460559
Turkey,6,3,2,103,279767
Turkey,5,2,1,66,196000
Turkey,8,4,3,180,286949
Turkey,6,5,4,200,220646
Turkey,16,4,3,143,489000
Turkey,2,2,1,57,308688
Turkey,3,4,3,170,390207
Turkey,12,2,1,65,254341
Turkey,2,3,2,75,380425
Turkey,5,4,3,135,387159
Turkey,2,4,3,266,503248
Turkey,7,4,3,154,322818
Turkey,6,3,2,82,345000
Turkey,11,4,3,170,271732
Turkey,15,3,2,134,366295
Turkey,4,2,1,60,182604
Turkey,5,3,2,120,293471
Turkey,9,3,2,130,349542
Turkey,6,4,3,210,439119
Turkey,5,3,2,94,314122
Turkey,9,3,2,135,245646
Turkey,35,3,2,106,613027
Turkey,2,4,3,115,206516
Turkey,8,5,4,256,602158
Turkey,24,3,2,110,498900
Turkey,10,3,2,122,591289
Turkey,4,2,1,70,423902
Turkey,32,3,2,112,480000
Turkey,6,3,2,150,377164
Turkey,2,4,3,200,343469
Turkey,11,3,2,130,467379
Turkey,2,2,1,49,246733
Turkey,3,6,4,210,221733
Turkey,4,3,2,130,238037
Turkey,7,3,2,130,320644
Turkey,7,4,3,152,504335
Turkey,6,2,1,55,317383
Turkey,6,3,2,126,370243
Turkey,12,5,4,225,554333
Turkey,12,3,2,110,297818
Turkey,4,4,3,155,293471
Turkey,12,4,3,153,288036
Turkey,10,5,4,230,383686
Turkey,6,3,2,65,325970
Turkey,6,5,3,154,367382
Turkey,12,3,2,90,319557
Turkey,5,3,2,115,315209
Turkey,12,4,3,145,324992
Turkey,3,4,3,190,390207
Turkey,78,3,2,123,327165
Turkey,1,2,1,85,278789
Turkey,5,3,2,80,298905
Turkey,5,3,2,115,342382
Turkey,15,3,2,112,542422
Turkey,12,4,3,150,466292
Turkey,5,5,4,165,472814
Turkey,4,5,4,140,371729
Turkey,9,3,2,90,405404
Turkey,17,2,1,70,442700
Turkey,12,3,2,75,328796
Turkey,30,5,4,240,524986
Turkey,4,3,2,110,245102
Turkey,13,4,3,132,378251
Turkey,8,2,1,60,380425
Turkey,11,4,3,154,346000
Turkey,7,2,1,80,440000
Turkey,5,2,1,48,239124
Turkey,8,4,3,120,465205
Turkey,9,4,3,225,413033
Turkey,10,3,2,106,563829
Turkey,20,3,2,96,294558
Turkey,48,2,1,69,292384
Turkey,4,2,1,59,200146
Turkey,26,6,5,287,465205
Turkey,7,4,3,135,340209
Turkey,6,4,3,170,423902
Turkey,2,2,1,64,378251
Turkey,10,4,3,126,294230
Turkey,5,2,1,53,185120
Turkey,19,4,3,180,554333
Turkey,8,3,2,130,480422
Turkey,5,2,1,50,187495
Turkey,4,3,2,95,489118
Turkey,10,4,3,172,371729
Turkey,19,5,4,231,398903
Turkey,5,3,3,100,285440
Turkey,4,2,1,55,156518
Turkey,36,3,2,93,650000
Turkey,25,4,3,150,623897
Turkey,9,3,2,145,355426
Turkey,5,4,3,165,526073
Turkey,34,3,2,112,432597
Turkey,10,5,4,202,369556
Turkey,13,3,2,100,482596
Turkey,10,2,1,61,239124
Turkey,6,4,3,157,630418
Turkey,17,2,1,73,459336
Turkey,11,3,2,104,390207
Turkey,21,3,2,104,384773
Turkey,3,5,4,202,544551
Turkey,14,4,3,169,469000
Turkey,4,4,3,160,380425
Turkey,15,2,1,58,519552
Turkey,12,4,3,166,554333
Turkey,3,5,4,210,857586
Turkey,11,3,2,112,402163
Turkey,5,5,4,240,753241
Turkey,24,3,2,93,603245
Turkey,14,5,4,220,600000
Turkey,15,5,4,280,748894
Turkey,10,4,3,117,563029
Turkey,24,5,4,192,816283
Turkey,42,3,2,114,754328
Turkey,10,3,2,95,302166
Turkey,6,4,3,200,545536
Turkey,6,6,5,245,622810
Turkey,7,4,3,163,618462
Turkey,5,5,4,165,581507
Turkey,12,3,2,137,504335
Turkey,10,3,2,153,619348
Turkey,3,7,5,234,670635
Turkey,6,3,2,124,855412
Turkey,12,3,2,112,678243
Turkey,16,4,3,186,600000
Turkey,5,3,2,132,747807
Turkey,5,4,3,172,503629
Turkey,3,3,2,95,260863
Turkey,6,3,2,130,282601
Turkey,65,2,1,109,724981
Turkey,24,3,2,117,453249
Turkey,12,4,3,186,610633
Turkey,6,5,4,190,552160
Turkey,4,1,4,240,686947
Turkey,3,3,2,110,239124
Turkey,7,3,2,113,958671
Turkey,2,2,1,73,1304314
Turkey,12,3,2,115,532800
Turkey,4,3,2,123,336838
Turkey,15,5,4,139,677915
Turkey,31,2,1,98,653244
Turkey,4,4,3,195,442380
Turkey,4,3,2,105,273906
Turkey,15,3,2,144,1336922
Turkey,9,5,4,232,667374
Turkey,9,6,5,240,436356
Turkey,9,4,3,152,327165
Turkey,15,4,3,163,627158
Turkey,4,3,2,163,575420
Turkey,12,3,2,110,597810
Turkey,11,5,4,224,628244
Turkey,12,4,3,217,528247
Turkey,15,5,4,215,696721
Turkey,3,3,2,98,267083
Turkey,11,5,4,215,820631
Turkey,68,4,3,252,788023
Turkey,17,4,3,210,480000
Turkey,18,4,3,132,733677
Turkey,40,5,4,204,494552
Turkey,20,5,4,128,744546
Turkey,3,4,3,160,298905
Turkey,15,4,3,112,1015191
Turkey,2,3,2,92,1086928
Turkey,5,3,2,186,698895
Turkey,6,5,4,390,929324
Turkey,8,3,2,138,1135840
Turkey,24,5,4,233,642375
Turkey,8,9,7,410,995626
Turkey,35,4,3,122,764111
Turkey,18,3,2,110,845630
Turkey,9,4,3,178,627695
Turkey,31,4,3,189,1255402
